SampleID	Primer	Collection	Location	Latitude	Longitude	Depth_m
Bact674Green	V3V4	J2-674-Green	Pohaku	18.9013	-155.2582	1179
Uni674Green	V4V5	J2-674-Green	Pohaku	18.9013	-155.2582	1179
Bact674Blue	V3V4	J2-674-Blue	Pohaku	18.9015	-155.2582	1182
Uni674Blue	V4V5	J2-674-Blue	Pohaku	18.9015	-155.2582	1182
Bact677Black	V3V4	J2-677-Black	Hiolo South	18.9055	-155.2570	1270
Uni677Black	V4V5	J2-677-Black	Hiolo South	18.9055	-155.2570	1270
Bact675Black	V3V4	J2-675-Black	Hiolo South	18.9056	-155.2570	1272
Uni675Black	V4V5	J2-675-Black	Hiolo South	18.9056	-155.2570	1272
Bact677Green	V3V4	J2-677-Green	Hiolo North	18.9064	-155.2570	1300
Uni677Green	V4V5	J2-677-Green	Hiolo North	18.9064	-155.2570	1300
Bact677Blue	V3V4	J2-677-Blue	Hiolo North	18.9065	-155.2569	1300
Uni677Blue	V4V5	J2-677-Blue	Hiolo North	18.9065	-155.2569	1300
Bact676Black	V3V4	J2-676-Black	Lohiau	18.9089	-155.2577	1175
Uni676Black	V4V5	J2-676-Black	Lohiau	18.9089	-155.2577	1175
Bact676Green	V3V4	J2-676-Green	Lohiau	18.9089	-155.2577	1175
Uni676Green	V4V5	J2-676-Green	Lohiau	18.9089	-155.2577	1175
